date,deepDetected,deepPossible,gasvBuoyDetected,gasvBuoyPossible,gliderDetected,gliderPossible,midDetected,midPossible,shallowDetected,shallowPossible,vanfBuoyDetected,vanfBuoyPossible
8/16/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/17/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/18/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/19/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/20/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/21/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/22/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/23/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/24/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/25/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/26/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/27/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/28/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/29/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/30/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8/31/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/1/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/2/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/3/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/4/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/5/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/6/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/7/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/8/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/9/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/10/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/11/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/12/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/13/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/14/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/15/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/16/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/17/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/18/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9/19/2022,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
